round,alive_sensors,alive_gateways,avg_energy_sensors,avg_energy_gateways,firstCHFailureRound
166,600,60,1.94805,9.53305,-1
167,600,60,1.94774,9.53026,-1
168,600,60,1.94743,9.52746,-1
169,600,60,1.94712,9.52467,-1
170,600,60,1.94681,9.52187,-1
171,600,60,1.9465,9.51907,-1
172,600,60,1.94619,9.51628,-1
173,600,60,1.94587,9.51348,-1
174,600,60,1.94556,9.51069,-1
175,600,60,1.94525,9.50789,-1
176,600,60,1.94494,9.50509,-1
177,600,60,1.94463,9.5023,-1
178,600,60,1.94432,9.4995,-1
179,600,60,1.94401,9.49671,-1
180,600,60,1.9437,9.49391,-1
181,600,60,1.94339,9.49111,-1
182,600,60,1.94307,9.48832,-1
183,600,60,1.94276,9.48552,-1
184,600,60,1.94245,9.48273,-1
185,600,60,1.94214,9.47993,-1
186,600,60,1.94183,9.47713,-1
187,600,60,1.94152,9.47434,-1
188,600,60,1.94121,9.47154,-1
189,600,60,1.9409,9.46875,-1
190,600,60,1.94059,9.46595,-1
191,600,60,1.94028,9.46315,-1
192,600,60,1.93996,9.46036,-1
193,600,60,1.93965,9.45756,-1
194,600,60,1.93934,9.45476,-1
195,600,60,1.93903,9.45197,-1
196,600,60,1.93872,9.44917,-1
197,600,60,1.93841,9.44638,-1
198,600,60,1.9381,9.44358,-1
199,600,60,1.93779,9.44078,-1
200,600,60,1.93748,9.43799,-1
201,600,60,1.93716,9.43519,-1
202,600,60,1.93685,9.4324,-1
203,600,60,1.93654,9.4296,-1
204,600,60,1.93623,9.4268,-1
205,600,60,1.93592,9.42401,-1
206,600,60,1.93561,9.42121,-1
207,600,60,1.9353,9.41842,-1
208,600,60,1.93499,9.41562,-1
209,600,60,1.93468,9.41282,-1
210,600,60,1.93436,9.41003,-1
211,600,60,1.93405,9.40723,-1
212,600,60,1.93374,9.40444,-1
213,600,60,1.93343,9.40164,-1
214,600,60,1.93312,9.39884,-1
215,600,60,1.93281,9.39605,-1
216,600,60,1.9325,9.39325,-1
217,600,60,1.93219,9.39045,-1
218,600,60,1.93188,9.38766,-1
219,600,60,1.93157,9.38486,-1
220,600,60,1.93125,9.38207,-1
221,600,60,1.93094,9.37927,-1
222,600,60,1.93063,9.37647,-1
223,600,60,1.93032,9.37368,-1
224,600,60,1.93001,9.37088,-1
225,600,60,1.9297,9.36809,-1
226,600,60,1.92939,9.36529,-1
227,600,60,1.92908,9.36249,-1
228,600,60,1.92877,9.3597,-1
229,600,60,1.92845,9.3569,-1
230,600,60,1.92814,9.35411,-1
231,600,60,1.92783,9.35131,-1
232,600,60,1.92752,9.34851,-1
233,600,60,1.92721,9.34572,-1
234,600,60,1.9269,9.34292,-1
235,600,60,1.92659,9.34013,-1
236,600,60,1.92628,9.33733,-1
237,600,60,1.92597,9.33453,-1
238,600,60,1.92566,9.33174,-1
239,600,60,1.92534,9.32894,-1
240,600,60,1.92503,9.32615,-1
