recordType,id,x,y,isGateway,energy,from,to,edgeType,nextHop,cluster,clusterRadius
node,119,167.519,244.015,1,10,,,,46,-1,80
node,120,259.395,343.065,0,2,,,,-2,54,-1
node,121,381.568,227.649,0,2,,,,-2,47,-1
node,122,404.909,20.974,0,2,,,,-2,112,-1
node,123,382.423,467.855,0,2,,,,-2,32,-1
node,124,204.72,267.395,0,2,,,,-2,31,-1
node,125,416.452,230.638,0,2,,,,-2,41,-1
node,126,246.589,96.628,0,2,,,,-2,42,-1
node,127,163.265,392.571,0,2,,,,-2,43,-1
node,128,360.886,342.011,0,2,,,,-2,66,-1
node,129,464.499,314.248,0,2,,,,-2,2,-1
node,130,275.151,193.521,0,2,,,,-2,101,-1
node,131,338.885,69.591,0,2,,,,-2,72,-1
node,132,469.295,101.279,0,2,,,,-2,24,-1
node,133,315.117,436.908,0,2,,,,-2,18,-1
node,134,475.795,381.805,0,2,,,,-2,109,-1
node,135,154.207,166.676,0,2,,,,-2,119,-1
node,136,252.862,258.016,0,2,,,,-2,108,-1
node,137,176.329,270.518,0,2,,,,-2,3,-1
node,138,327.415,218.883,0,2,,,,-2,101,-1
node,139,28.1424,279.91,0,2,,,,-2,94,-1
node,140,217.872,238.05,0,2,,,,-2,31,-1
node,141,401.674,101.068,0,2,,,,-2,16,-1
node,142,418.599,39.1683,0,2,,,,-2,106,-1
node,143,197.1,77.1386,0,2,,,,-2,87,-1
node,144,192.558,340.572,0,2,,,,-2,39,-1
node,145,374.718,484.346,0,2,,,,-2,32,-1
node,146,232.773,272.299,0,2,,,,-2,89,-1
node,147,96.1694,499.75,0,2,,,,-2,73,-1
node,148,268.09,174.968,0,2,,,,-2,58,-1
node,149,37.8914,20.5874,0,2,,,,-2,52,-1
node,150,314.035,57.1379,0,2,,,,-2,104,-1
node,151,289.433,410.845,0,2,,,,-2,32,-1
node,152,154.219,83.7528,0,2,,,,-2,110,-1
node,153,280.597,5.64062,0,2,,,,-2,42,-1
node,154,116.196,309.56,0,2,,,,-2,63,-1
node,155,170.95,332.733,0,2,,,,-2,93,-1
node,156,131,435.716,0,2,,,,-2,93,-1
node,157,351.698,141.87,0,2,,,,-2,12,-1
node,158,29.8034,467.022,0,2,,,,-2,73,-1
node,159,411.147,96.984,0,2,,,,-2,59,-1
node,160,488.297,25.7544,0,2,,,,-2,112,-1
node,161,416.41,157.477,0,2,,,,-2,24,-1
node,162,118.556,165.184,0,2,,,,-2,114,-1
node,163,394.704,467.763,0,2,,,,-2,18,-1
node,164,25.7004,479.261,0,2,,,,-2,53,-1
node,165,99.3192,288.266,0,2,,,,-2,48,-1
node,166,157.302,335.919,0,2,,,,-2,3,-1
node,167,44.3656,226.838,0,2,,,,-2,55,-1
node,168,170.494,337.645,0,2,,,,-2,39,-1
node,169,83.12,134.568,0,2,,,,-2,98,-1
node,170,29.9307,225.448,0,2,,,,-2,114,-1
node,171,488.125,490.053,0,2,,,,-2,80,-1
node,172,428.158,292.088,0,2,,,,-2,40,-1
node,173,118.586,345.6,0,2,,,,-2,5,-1
node,174,104.613,367.942,0,2,,,,-2,115,-1
node,175,140.401,287.205,0,2,,,,-2,17,-1
node,176,45.8058,6.53744,0,2,,,,-2,52,-1
node,177,365.865,217.961,0,2,,,,-2,101,-1
node,178,151.07,65.4905,0,2,,,,-2,27,-1
node,179,169.975,334.95,0,2,,,,-2,63,-1
node,180,445.558,416.009,0,2,,,,-2,116,-1
node,181,451.071,338.014,0,2,,,,-2,2,-1
node,182,329.854,268.726,0,2,,,,-2,107,-1
node,183,421.278,247.148,0,2,,,,-2,66,-1
node,184,417.889,468.085,0,2,,,,-2,102,-1
node,185,147.047,245.458,0,2,,,,-2,3,-1
node,186,456.627,465.367,0,2,,,,-2,116,-1
node,187,243.153,240.676,0,2,,,,-2,117,-1
node,188,350.998,393.363,0,2,,,,-2,18,-1
node,189,67.5536,429.064,0,2,,,,-2,26,-1
node,190,399.684,371.221,0,2,,,,-2,99,-1
node,191,90.6499,428.481,0,2,,,,-2,93,-1
node,192,123.779,98.5245,0,2,,,,-2,27,-1
node,193,43.27,106.654,0,2,,,,-2,52,-1
node,194,284.772,47.8902,0,2,,,,-2,111,-1
node,195,261.974,263.767,0,2,,,,-2,117,-1
node,196,248.268,105.8,0,2,,,,-2,1,-1
node,197,55.3531,188.811,0,2,,,,-2,15,-1
node,198,398.433,138.844,0,2,,,,-2,75,-1
node,199,164.197,377.924,0,2,,,,-2,115,-1
node,200,206.61,148.884,0,2,,,,-2,1,-1
node,201,172.95,123.494,0,2,,,,-2,74,-1
node,202,107.697,465.289,0,2,,,,-2,73,-1
node,203,291.495,267.618,0,2,,,,-2,108,-1
node,204,257.755,256.087,0,2,,,,-2,46,-1
node,205,316.824,237.784,0,2,,,,-2,62,-1
node,206,421.982,199.605,0,2,,,,-2,75,-1
node,207,227.523,403.517,0,2,,,,-2,54,-1
node,208,227.113,391.533,0,2,,,,-2,43,-1
node,209,211.214,397.535,0,2,,,,-2,43,-1
node,210,311.801,58.2102,0,2,,,,-2,72,-1
node,211,379.935,200.756,0,2,,,,-2,23,-1
node,212,142.679,55.5957,0,2,,,,-2,0,-1
node,213,43.9611,112.345,0,2,,,,-2,7,-1
node,214,217.762,288.256,0,2,,,,-2,89,-1
node,215,174.686,409.262,0,2,,,,-2,26,-1
node,216,493.703,226.788,0,2,,,,-2,23,-1
node,217,120.832,395.139,0,2,,,,-2,6,-1
node,218,116.019,130.067,0,2,,,,-2,105,-1
node,219,477.018,436.005,0,2,,,,-2,80,-1
node,220,137.621,87.6632,0,2,,,,-2,69,-1
node,221,156.745,113.041,0,2,,,,-2,1,-1
node,222,13.9791,447.05,0,2,,,,-2,53,-1
node,223,498.776,425.11,0,2,,,,-2,116,-1
node,224,482.774,358.687,0,2,,,,-2,2,-1
node,225,148.178,293.426,0,2,,,,-2,22,-1
node,226,50.4522,127.627,0,2,,,,-2,52,-1
node,227,406.466,196.648,0,2,,,,-2,23,-1
node,228,40.5918,168.432,0,2,,,,-2,27,-1
node,229,315.875,142.628,0,2,,,,-2,97,-1
node,230,200.546,483.429,0,2,,,,-2,118,-1
node,231,398.718,243.888,0,2,,,,-2,40,-1
node,232,445.407,198.028,0,2,,,,-2,47,-1
node,233,364.254,15.5079,0,2,,,,-2,72,-1
node,234,196.534,68.1162,0,2,,,,-2,69,-1
node,235,237.807,62.1901,0,2,,,,-2,4,-1
node,236,334.927,468.292,0,2,,,,-2,18,-1
node,237,385.241,362.959,0,2,,,,-2,38,-1
node,238,190.527,289.321,0,2,,,,-2,39,-1
node,239,188.584,352.096,0,2,,,,-2,113,-1
node,240,267.614,187.372,0,2,,,,-2,89,-1
node,241,340.496,349.733,0,2,,,,-2,95,-1
node,242,429.04,14.4524,0,2,,,,-2,45,-1
node,243,406.057,107.047,0,2,,,,-2,30,-1
node,244,253.676,249.319,0,2,,,,-2,19,-1
node,245,49.2349,8.07416,0,2,,,,-2,52,-1
node,246,408.701,467.677,0,2,,,,-2,61,-1
node,247,380.012,222.654,0,2,,,,-2,64,-1
node,248,140.918,143.163,0,2,,,,-2,1,-1
node,249,188.06,417.745,0,2,,,,-2,26,-1
node,250,97.1514,242.997,0,2,,,,-2,94,-1
node,251,135.249,255.55,0,2,,,,-2,105,-1
node,252,114.359,266.14,0,2,,,,-2,5,-1
node,253,382.811,82.0821,0,2,,,,-2,45,-1
node,254,325.887,430.283,0,2,,,,-2,20,-1
node,255,425.058,440.809,0,2,,,,-2,61,-1
node,256,427.007,173.676,0,2,,,,-2,24,-1
node,257,442.805,436.359,0,2,,,,-2,80,-1
node,258,497.438,259.371,0,2,,,,-2,100,-1
node,259,217.351,486.247,0,2,,,,-2,118,-1
node,260,327.046,238.832,0,2,,,,-2,68,-1
node,261,184.972,451.144,0,2,,,,-2,13,-1
node,262,289.803,48.6418,0,2,,,,-2,111,-1
node,263,234.966,185.927,0,2,,,,-2,117,-1
node,264,53.7793,130.257,0,2,,,,-2,88,-1
node,265,285.503,303.769,0,2,,,,-2,62,-1
node,266,81.6788,419.323,0,2,,,,-2,93,-1
node,267,27.7584,402.94,0,2,,,,-2,73,-1
node,268,66.4207,350.182,0,2,,,,-2,55,-1
node,269,117.608,141.09,0,2,,,,-2,10,-1
node,270,7.02276,5.87029,0,2,,,,-2,52,-1
node,271,160.344,286.083,0,2,,,,-2,63,-1
node,272,362.539,34.632,0,2,,,,-2,112,-1
node,273,459.727,287.344,0,2,,,,-2,100,-1
node,274,221.602,430.878,0,2,,,,-2,118,-1
node,275,55.0345,273.099,0,2,,,,-2,94,-1
node,276,429.442,212.168,0,2,,,,-2,40,-1
node,277,417.005,65.2604,0,2,,,,-2,30,-1
node,278,21.27,188.58,0,2,,,,-2,86,-1
node,279,114.744,261.35,0,2,,,,-2,31,-1
node,280,281.721,71.8784,0,2,,,,-2,72,-1
node,281,482.626,356.017,0,2,,,,-2,116,-1
node,282,56.232,21.3653,0,2,,,,-2,83,-1
node,283,294.601,46.088,0,2,,,,-2,111,-1
node,284,41.4056,42.019,0,2,,,,-2,10,-1
node,285,471.679,57.5079,0,2,,,,-2,33,-1
node,286,266.048,422.999,0,2,,,,-2,37,-1
node,287,143.825,306.47,0,2,,,,-2,6,-1
node,288,92.1825,398.334,0,2,,,,-2,85,-1
node,289,211.537,320.962,0,2,,,,-2,17,-1
node,290,245.307,359.057,0,2,,,,-2,115,-1
node,291,298.849,498.194,0,2,,,,-2,37,-1
node,292,302.901,483.642,0,2,,,,-2,20,-1
node,293,219.361,56.3315,0,2,,,,-2,28,-1
node,294,417.273,258.134,0,2,,,,-2,100,-1
