time_ms,fitness
34.6376,1791.61
485.345,1841.74
861.51,1882.25
1740.8,1905.05
1886.79,1926.11
2103.68,1926.79
2912.23,1953.36
4298.89,1967.18
6409.46,1976.11
7743.2,1989.27
18355.7,1989.56
18772.6,2010.11
END,18772.7
